Category;City;Country_Region;Customer_ID;Customer_Name;Order_Date;Order_ID;Order_Profitable;Postal_Code;Product_ID;Product_Name;Region;Row_ID;Segment;Ship_Date;Ship_Mode;Ship_Status;State;Sub_Category;Days_to_Ship_Actual;Days_to_Ship_Scheduled;Discount;Profit;Quantity;Sales;Sales_Forecast
Stationery;New York City;United States;C0042;Customer 35;2/24/2022;CA-2022-692579;Not Profitable;54991;STA-7605;Avery 492;East;13;Consumer;1/28/2022;Standard Class;Shipped Early;Michigan;Stationery;4;2;0.14%;93.63;9;470;466.33
Office Supplies;New York City;United States;C0083;Customer 2;2/9/2022;CA-2022-674656;Profitable;10862;OFF-8894;Acco 7-Outlet Surge Protector;East;14;Corporate;2/27/2022;First Class;Shipped on Time;North Carolina;Office Supplies;3;2;0.14%;110.38;3;784.87;714.97
Furniture;Austin;United States;C0021;Customer 1;2/15/2022;CA-2022-393141;Not Profitable;48475;FUR-8780;Eldon Expressions Wood and Plastic Desk Accessories;South;15;Corporate;2/21/2022;Second Class;Shipped on Time;Ohio;Furniture;5;4;0.18%;139.27;3;433.67;425.34
Furniture;Los Angeles;United States;;Customer 73;2/13/2022;CA-2022-554934;Not Profitable;40294;FUR-5019;Sauder Classic Café Table;West;16;Corporate;1/22/2022;Second Class;Shipped on Time;Florida;Furniture;2;2;0.17%;25.78;4;854.69;865.86
Stationery;Indianapolis;United States;C0034;Customer 60;2/20/2022;CA-2022-999465;Not Profitable;84829;STA-5379;Avery 492;Central;17;Consumer;1/22/2022;Second Class;Shipped Late;Colorado;Stationery;2;5;0.12%;-6.32;10;243.6;261.31
Furniture;Houston;United States;C0064;Customer 78;1/22/2022;CA-2022-469282;Not Profitable;97749;FUR-6777;"Executive Impressions 14"" Two-Tier Wood Desk Organizer";South;18;Corporate;2/5/2022;Second Class;Shipped Late;Washington;Furniture;5;5;0.16%;105.66;7;733.91;721.93
Stationery;Columbus;United States;C0035;Customer 94;1/26/2022;CA-2022-803296;Profitable;30665;STA-6145;Avery 476;East;19;Corporate;1/28/2022;First Class;Shipped Early;Ohio;Stationery;3;5;0.03%;122.84;4;405.33;406.36
Furniture;New York City;United States;C0032;Customer 87;2/27/2022;CA-2022-702145;Not Profitable;87830;FUR-6642;Sauder Classic Café Table;East;20;Corporate;1/31/2022;Standard Class;Shipped on Time;Arizona;Furniture;5;3;0.06%;-39.4;2;784.42;797.07
Furniture;San Diego;United States;C0066;Customer 64;2/20/2022;CA-2022-510237;Not Profitable;58410;FUR-5062;Sauder Classic Café Table;West;21;Corporate;1/29/2022;Second Class;Shipped on Time;New York;Furniture;2;3;0.08%;113.41;10;939.65;1022.94
Furniture;Detroit;United States;C0099;Customer 95;2/17/2022;CA-2022-866767;Not Profitable;80794;FUR-3429;Chromcraft Bull-Nose Wood Oval Conference Table;Central;22;Corporate;2/23/2022;Second Class;Shipped Late;Michigan;Furniture;2;3;0.04%;-22.34;1;507.05;465.89
Stationery;Miami;United States;C0061;Customer 27;2/9/2022;CA-2022-572102;Not Profitable;;STA-3717;Sanford Pencil Sharpener;South;23;Consumer;2/11/2022;First Class;Shipped on Time;Texas;Stationery;3;2;0.15%;59.38;8;530.22;481.37
Office Supplies;Miami;United States;C0008;Customer 28;2/16/2022;CA-2022-118121;Profitable;71078;OFF-2253;Wilson Jones Legal Size Ring Binders;South;24;Consumer;2/15/2022;Standard Class;Shipped Late;Michigan;Office Supplies;3;3;0.07%;32.77;5;222.2;218.58
Stationery;Houston;United States;C0023;Customer 62;1/22/2022;CA-2022-495583;Profitable;58374;STA-4238;Avery 476;South;25;Consumer;2/8/2022;First Class;Shipped Late;Colorado;Stationery;3;5;0.16%;146.01;8;227.67;228.11
Furniture;Jacksonville;United States;C0045;Customer 89;2/2/2022;CA-2022-707151;Not Profitable;32491;FUR-2597;Bush Somerset Collection Bookcase;South;26;Consumer;2/8/2022;Standard Class;Shipped Early;North Carolina;Furniture;3;2;0.07%;8.33;2;209.51;197.94
Furniture;San Francisco;United States;;Customer 30;2/23/2022;CA-2022-532918;Profitable;97835;FUR-4721;"Executive Impressions 14"" Two-Tier Wood Desk Organizer";West;27;Corporate;2/17/2022;Second Class;Shipped on Time;Indiana;Furniture;4;5;0.19%;33.29;10;368.9;359.11
Furniture;San Diego;United States;C0066;Customer 38;1/25/2022;CA-2022-640951;Profitable;24639;FUR-1676;Global Deluxe Stacking Chair;West;28;Consumer;2/5/2022;First Class;Shipped on Time;Ohio;Furniture;5;5;0.13%;-48.29;2;725.75;765.67
Stationery;;United States;C0046;Customer 35;2/23/2022;CA-2022-846079;Profitable;98808;STA-3407;Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;West;29;Consumer;2/8/2022;First Class;Shipped Late;Indiana;Stationery;4;4;0.15%;123.71;7;891.22;890.28
Furniture;Indianapolis;United States;C0073;Customer 23;1/29/2022;CA-2022-291103;Profitable;27206;FUR-3605;Global Deluxe Stacking Chair;Central;30;Corporate;1/25/2022;Standard Class;Shipped Early;Pennsylvania;Furniture;5;2;0%;36.12;5;833.48;824.51
Furniture;San Diego;United States;C0042;Customer 64;2/10/2022;CA-2022-709501;Profitable;59791;FUR-9707;Global Deluxe High-Back Manager's Chair;West;31;Consumer;2/8/2022;Second Class;Shipped on Time;Florida;Furniture;3;4;0.15%;46.63;10;848.64;902.32
Office Supplies;Dallas;United States;C0030;Customer 3;1/29/2022;CA-2022-425759;Profitable;33434;OFF-9316;Hamilton Beach Microwave;Central;32;Consumer;2/13/2022;Standard Class;Shipped on Time;Michigan;Office Supplies;2;3;0.15%;-10.54;7;910.49;935.45
Furniture;Houston;United States;C0025;Customer 55;1/23/2022;CA-2022-651252;Not Profitable;31576;FUR-1953;Hon Deluxe Fabric Micro Chair;South;33;Consumer;2/27/2022;Second Class;Shipped on Time;California;Furniture;4;5;0.17%;86.31;4;750.55;708.79
Stationery;Indianapolis;United States;C0050;Customer 10;2/20/2022;CA-2022-102737;Not Profitable;24892;STA-1864;;Central;34;Corporate;2/13/2022;First Class;Shipped on Time;Washington;Stationery;5;5;0.13%;8.15;7;64.34;65.96
Furniture;Los Angeles;United States;C0091;Customer 70;1/29/2022;CA-2022-371205;Profitable;24834;FUR-2898;Global Deluxe Stacking Chair;West;35;Consumer;2/12/2022;First Class;Shipped Early;Arizona;Furniture;3;4;0.14%;22.85;2;211.53;225.65
Stationery;Miami;United States;C0098;Customer 32;2/5/2022;CA-2022-816371;Not Profitable;71034;STA-4885;Eldon Fold 'N Roll Cart;South;36;Consumer;2/8/2022;Second Class;Shipped Early;Colorado;Stationery;2;5;0.16%;-23.93;2;989.17;980.83
Office Supplies;Chicago;United States;C0092;Customer 40;1/31/2022;CA-2022-451790;Profitable;83139;OFF-5778;Panasonic KX-P7100 Dot Matrix Printer;Central;37;Corporate;2/8/2022;First Class;Shipped Late;Pennsylvania;Office Supplies;3;4;0.09%;-37.02;1;81.96;74.38
Furniture;Los Angeles;United States;C0095;Customer 85;2/25/2022;CA-2022-713797;Profitable;47345;FUR-9454;Global Deluxe High-Back Manager's Chair;West;38;Corporate;2/7/2022;Second Class;Shipped Late;North Carolina;Furniture;5;5;0.12%;-30.06;3;897.71;986.33
Office Supplies;Detroit;United States;C0093;Customer 57;2/22/2022;CA-2022-689198;Not Profitable;36601;OFF-2778;Staples;Central;39;Corporate;1/29/2022;Standard Class;Shipped on Time;Indiana;Office Supplies;2;2;0.18%;72.97;10;752.54;686.02
Office Supplies;Jacksonville;United States;C0007;Customer 11;1/25/2022;CA-2022-106914;Not Profitable;18258;OFF-6031;Acco 7-Outlet Surge Protector;South;40;Corporate;1/30/2022;First Class;Shipped on Time;Texas;Office Supplies;3;5;0.19%;-20.48;4;850.36;805.48
Stationery;Chicago;United States;C0054;Customer 40;2/8/2022;CA-2022-469271;Profitable;46491;STA-5873;Sanford Pencil Sharpener;Central;41;Consumer;2/17/2022;Second Class;Shipped on Time;North Carolina;Stationery;5;3;0.01%;-32.41;9;706.24;698.38
Furniture;New York City;United States;C0038;Customer 36;2/27/2022;CA-2022-913838;Profitable;55653;FUR-1815;Hon Deluxe Fabric Micro Chair;East;42;Corporate;1/29/2022;Second Class;Shipped Early;Colorado;Furniture;2;5;0.15%;-2.48;7;143.25;137.84
Office Supplies;Austin;United States;C0094;Customer 64;2/20/2022;CA-2022-815795;Profitable;40062;OFF-8583;Staples;South;43;Consumer;1/24/2022;First Class;Shipped on Time;Texas;Office Supplies;3;2;0.14%;-42.19;7;852.01;785.1
Office Supplies;Detroit;United States;C0037;Customer 12;2/7/2022;CA-2022-773257;Profitable;31093;OFF-4203;Sanford Colorific Colored Pencils;Central;44;Consumer;2/12/2022;Standard Class;Shipped on Time;Florida;Office Supplies;2;2;0.18%;145.39;2;95.66;102.3
Stationery;Phoenix;United States;;Customer 54;2/8/2022;CA-2022-324072;Profitable;53054;STA-7321;Sanford Pencil Sharpener;West;45;Consumer;2/21/2022;First Class;Shipped Late;Colorado;Stationery;3;5;0.01%;24.1;9;58.55;54.52
Office Supplies;Philadelphia;United States;C0078;Customer 48;2/11/2022;CA-2022-148687;Profitable;60880;OFF-9229;Panasonic KX-P7100 Dot Matrix Printer;East;46;Consumer;2/3/2022;Second Class;Shipped Late;Michigan;Office Supplies;3;5;0.15%;128.08;1;253.98;252.35
Office Supplies;Philadelphia;United States;C0030;Customer 26;2/9/2022;CA-2022-912288;Profitable;61437;OFF-9411;Hamilton Beach Microwave;East;47;Consumer;2/25/2022;Second Class;Shipped Early;Arizona;Office Supplies;2;3;0.01%;77.88;8;964.26;1038.95
Furniture;Dallas;United States;C0044;Customer 94;2/4/2022;CA-2022-445927;Profitable;67854;FUR-9147;Global Deluxe Stacking Chair;Central;48;Corporate;2/20/2022;Second Class;Shipped Early;Florida;Furniture;3;5;0.06%;114.16;10;540.75;556.88
Office Supplies;Houston;United States;C0067;Customer 57;1/21/2022;CA-2022-528268;Profitable;82514;OFF-8433;OIC Colored Binder Clips;South;49;Consumer;2/19/2022;Standard Class;Shipped Late;Washington;Office Supplies;5;5;0.08%;-18.94;9;335.06;356.2
Office Supplies;;United States;C0098;Customer 76;2/15/2022;CA-2022-810446;Not Profitable;12059;OFF-6150;Sanford Colorific Colored Pencils;Central;50;Consumer;1/23/2022;Second Class;Shipped on Time;California;Office Supplies;4;5;0.15%;52.52;5;332.92;343.7
Stationery;San Antonio;United States;C0090;Customer 49;2/12/2022;CA-2022-348024;Profitable;23626;STA-3662;Fellowes Bankers Box Stacking Storage Boxes;South;51;Corporate;1/27/2022;Standard Class;Shipped Late;Arizona;Stationery;2;5;0.03%;95.63;2;388.85;391.52
Stationery;Denver;United States;;Customer 93;1/30/2022;CA-2022-731619;Not Profitable;70394;STA-9804;Enermax Note Cards;West;52;Corporate;1/29/2022;Second Class;Shipped Late;Florida;Stationery;3;4;0.06%;95.61;6;167.53;174.98
Furniture;San Francisco;United States;C0062;Customer 97;1/30/2022;CA-2022-519242;Not Profitable;99066;FUR-1101;Global Deluxe Stacking Chair;West;53;Corporate;2/14/2022;First Class;Shipped on Time;Arizona;Furniture;2;4;0.11%;116.48;6;541.69;544.32
Furniture;Charlotte;United States;C0078;Customer 54;2/16/2022;CA-2022-317086;Not Profitable;77580;FUR-4417;Bretford CR4500 Series Slim Rectangular Table;South;54;Consumer;2/21/2022;Standard Class;Shipped Late;Colorado;Furniture;2;3;0.14%;110.71;9;586.96;623.5
Stationery;Denver;United States;C0072;Customer 72;2/8/2022;CA-2022-647310;Not Profitable;18326;STA-7199;Xerox 1980 Black & White Digital Copier;West;55;Corporate;1/27/2022;First Class;Shipped Early;Texas;Stationery;5;3;0.01%;39.14;1;863.87;853.58
Stationery;Philadelphia;United States;C0034;Customer 6;2/3/2022;CA-2022-454876;Profitable;16834;STA-7144;Enermax Note Cards;East;56;Consumer;2/27/2022;First Class;Shipped on Time;Colorado;Stationery;2;2;0.16%;25.53;10;55.83;52.33
Office Supplies;Philadelphia;United States;C0040;Customer 74;2/14/2022;CA-2022-350521;Profitable;92674;OFF-6829;Staples;East;57;Corporate;2/22/2022;Standard Class;Shipped Late;Michigan;Office Supplies;4;2;0.05%;-2.68;8;512.99;466.15
Office Supplies;Detroit;United States;C0064;Customer 23;2/27/2022;CA-2022-391014;Profitable;26366;OFF-3360;OIC Colored Binder Clips;Central;58;Consumer;1/25/2022;Standard Class;Shipped Early;Texas;Office Supplies;2;2;0.05%;-43.45;1;476.49;453.48
Stationery;San Diego;United States;C0048;Customer 82;2/22/2022;CA-2022-435621;Not Profitable;27886;STA-7966;Avery 492;West;59;Consumer;2/5/2022;First Class;Shipped on Time;Illinois;Stationery;2;4;0.06%;-7.07;10;331.21;360.4
Stationery;Los Angeles;United States;;Customer 39;1/29/2022;CA-2022-369319;Not Profitable;11332;STA-3154;Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;West;60;Corporate;2/27/2022;First Class;Shipped Early;Ohio;Stationery;5;4;0.07%;17.84;7;885.97;942.48
Furniture;;United States;C0070;Customer 20;2/24/2022;CA-2022-608660;Profitable;83906;FUR-7456;Sauder Classic Café Table;South;61;Corporate;2/13/2022;First Class;Shipped on Time;Florida;Furniture;5;4;0.18%;31.33;10;878.17;846.39
Furniture;Austin;United States;C0068;Customer 71;2/15/2022;CA-2022-839250;Not Profitable;39158;FUR-8023;Novimex Executive Leather Armchair;South;62;Corporate;2/2/2022;Second Class;Shipped Early;Texas;Furniture;4;2;0.03%;-7.34;3;456.32;412.84
Stationery;Austin;United States;C0005;Customer 67;2/3/2022;CA-2022-983767;Not Profitable;94106;STA-8724;Sanford Pencil Sharpener;South;63;Consumer;1/29/2022;Second Class;Shipped Late;Texas;Stationery;4;4;0.11%;106.5;6;335.8;322.13
Office Supplies;Indianapolis;United States;C0081;Customer 60;1/28/2022;CA-2022-953274;Profitable;57400;OFF-7123;Staples;Central;64;Corporate;2/9/2022;Second Class;Shipped on Time;Florida;Office Supplies;5;2;0.15%;63.86;1;584.67;563.38
Stationery;San Jose;United States;C0083;Customer 9;2/1/2022;CA-2022-257452;Profitable;31026;STA-7258;Eldon Fold 'N Roll Cart;West;65;Consumer;1/22/2022;Second Class;Shipped Late;Colorado;Stationery;3;2;0.05%;131.24;6;952.96;866.55
Office Supplies;Phoenix;United States;C0094;Customer 27;1/22/2022;CA-2022-831160;Profitable;35884;OFF-6348;Staples;West;66;Corporate;1/24/2022;Standard Class;Shipped Late;Colorado;Office Supplies;4;5;0.03%;73.14;4;543.1;596.03
Stationery;New York City;United States;C0099;Customer 23;2/6/2022;CA-2022-668108;Profitable;62084;STA-5318;Avery 492;East;67;Corporate;2/18/2022;Standard Class;Shipped Early;Washington;Stationery;5;4;0.12%;111.75;7;878.55;956.04
Furniture;San Francisco;United States;C0029;Customer 52;2/8/2022;CA-2022-335669;Profitable;62732;FUR-4748;Hon Deluxe Fabric Micro Chair;West;68;Consumer;1/25/2022;Second Class;Shipped Late;Pennsylvania;Furniture;3;2;0.11%;144.2;5;316.24;311.72
Stationery;Miami;United States;C0042;Customer 61;2/4/2022;CA-2022-945584;Not Profitable;32140;STA-2509;Fellowes Bankers Box Stacking Storage Boxes;South;69;Corporate;2/3/2022;Second Class;Shipped Late;Washington;Stationery;5;4;0.17%;0.78;9;322.42;309.56
Furniture;San Jose;United States;C0029;Customer 93;2/25/2022;CA-2022-388459;Not Profitable;29511;FUR-9983;Bush Somerset Collection Bookcase;West;70;Consumer;1/24/2022;First Class;Shipped on Time;North Carolina;Furniture;4;4;0.04%;30.58;8;696.53;744.61
Office Supplies;Columbus;United States;C0020;Customer 20;2/7/2022;CA-2022-532177;Not Profitable;47541;OFF-8427;Ibico Plastic Spiral Binding Combs;East;71;Corporate;2/8/2022;Second Class;Shipped Early;Texas;Office Supplies;4;4;0.07%;45.17;10;97.33;101.84
Furniture;Los Angeles;United States;C0002;Customer 27;2/20/2022;CA-2022-771102;Profitable;45462;FUR-3297;Global Deluxe Stacking Chair;West;72;Consumer;1/31/2022;Second Class;Shipped Early;New York;Furniture;5;5;0.11%;3.92;2;427.98;439.05
Stationery;Charlotte;United States;C0098;Customer 67;1/26/2022;CA-2022-758480;Not Profitable;72934;STA-3443;Sanford Pencil Sharpener;South;73;Corporate;2/16/2022;Second Class;Shipped on Time;New York;Stationery;4;5;0.17%;15.17;5;727.79;719.36
Office Supplies;Philadelphia;United States;C0026;Customer 2;2/6/2022;CA-2022-595182;Not Profitable;94831;OFF-4654;Hamilton Beach Microwave;East;74;Corporate;2/12/2022;First Class;Shipped on Time;Arizona;Office Supplies;5;2;0.03%;69.79;6;736.23;741.43
Office Supplies;San Francisco;United States;C0062;Customer 41;1/27/2022;CA-2022-396041;Profitable;85969;OFF-9967;Avery 520;West;75;Corporate;2/22/2022;Standard Class;Shipped Late;Texas;Office Supplies;4;5;0.08%;-16.24;8;803.9;729.19
Stationery;Charlotte;United States;C0025;Customer 3;2/5/2022;CA-2022-752373;Profitable;52444;STA-4173;Avery 476;South;76;Consumer;2/5/2022;First Class;Shipped on Time;North Carolina;Stationery;4;4;0.11%;53.78;10;606.94;566.32
Office Supplies;Chicago;United States;C0006;Customer 98;2/18/2022;CA-2022-212945;Profitable;93043;OFF-7746;Wilson Jones Legal Size Ring Binders;Central;77;Corporate;1/25/2022;Standard Class;Shipped on Time;Michigan;Office Supplies;4;5;0.03%;-49;6;428.61;386.72
Stationery;Denver;United States;C0081;Customer 41;2/13/2022;CA-2022-310676;Not Profitable;84483;STA-5684;Eldon Fold 'N Roll Cart;West;78;Corporate;2/24/2022;First Class;Shipped Early;Colorado;Stationery;4;3;0.15%;142.31;1;381.83;349.97
Stationery;Austin;United States;C0028;Customer 66;2/25/2022;CA-2022-708159;Profitable;18536;STA-9935;Avery 508;South;79;Consumer;2/23/2022;Second Class;Shipped on Time;Florida;Stationery;4;3;0.17%;105.74;8;670.46;668.32
Office Supplies;Chicago;United States;C0034;Customer 72;2/19/2022;CA-2022-805188;Profitable;39320;OFF-7605;Acco 7-Outlet Surge Protector;Central;80;Consumer;2/9/2022;Second Class;Shipped Late;Arizona;Office Supplies;4;4;0.17%;24.28;1;142.22;138.25
Office Supplies;Chicago;United States;C0066;Customer 30;2/7/2022;CA-2022-594174;Profitable;85380;OFF-5670;Panasonic KX-P7100 Dot Matrix Printer;Central;81;Consumer;2/20/2022;Standard Class;Shipped Late;Texas;Office Supplies;2;5;0.03%;-48.13;10;503.09;467.8
Furniture;Denver;United States;C0027;Customer 34;1/29/2022;CA-2022-506962;Profitable;27519;FUR-8605;Hon Deluxe Fabric Micro Chair;West;82;Corporate;2/10/2022;First Class;Shipped Late;Illinois;Furniture;5;2;0.17%;57.09;4;504.92;533.01
Stationery;Los Angeles;United States;C0016;Customer 21;2/5/2022;CA-2022-380722;Profitable;89622;STA-4131;Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;West;83;Corporate;2/20/2022;Second Class;Shipped Early;North Carolina;Stationery;5;3;0.07%;-5.32;8;142.22;133.79
Furniture;Indianapolis;United States;C0003;Customer 50;1/27/2022;CA-2022-441954;Profitable;36734;FUR-9981;Bush Somerset Collection Bookcase;Central;84;Corporate;2/2/2022;First Class;Shipped Late;Colorado;Furniture;5;4;0.15%;-17.97;1;665.16;674.53
Stationery;Denver;United States;C0078;Customer 78;2/6/2022;CA-2022-616471;Not Profitable;66879;STA-2736;Enermax Note Cards;West;85;Corporate;2/15/2022;Second Class;Shipped on Time;Ohio;Stationery;4;3;0.19%;109.77;6;184.46;179.41
Office Supplies;Phoenix;United States;C0071;Customer 37;2/20/2022;CA-2022-251341;Not Profitable;50202;OFF-5636;Sanford Colorific Colored Pencils;West;86;Consumer;2/23/2022;First Class;Shipped on Time;Illinois;Office Supplies;5;2;0.07%;-6.13;2;90.47;83.14
Stationery;Phoenix;United States;C0020;Customer 50;2/24/2022;CA-2022-700113;Profitable;54163;STA-8988;Enermax Note Cards;West;87;Consumer;1/24/2022;Standard Class;Shipped Early;Colorado;Stationery;4;2;0.05%;79.45;10;705.51;667.06
Office Supplies;Philadelphia;United States;C0093;Customer 21;2/15/2022;CA-2022-486255;Profitable;38525;OFF-6640;OIC Colored Binder Clips;East;88;Corporate;1/27/2022;First Class;Shipped Late;Illinois;Office Supplies;2;2;0.04%;126.09;5;293.71;277.78
Office Supplies;Seattle;United States;C0057;Customer 47;2/23/2022;CA-2022-858236;Profitable;36308;OFF-1588;Poly String Tie Envelopes;West;89;Corporate;2/26/2022;Second Class;Shipped on Time;North Carolina;Office Supplies;2;3;0.2%;12.01;7;194.02;178.54
Office Supplies;New York City;United States;C0081;Customer 19;2/7/2022;CA-2022-465694;Profitable;13551;OFF-8416;Sanford Colorific Colored Pencils;East;90;Corporate;2/27/2022;Standard Class;Shipped Early;Pennsylvania;Office Supplies;5;2;0.17%;-34.08;6;859.19;779.92
Furniture;Chicago;United States;C0009;Customer 65;1/26/2022;CA-2022-470956;Not Profitable;88850;FUR-2581;Bush Somerset Collection Bookcase;Central;91;Consumer;2/23/2022;First Class;Shipped Late;Arizona;Furniture;5;3;0.16%;-14.14;4;712.42;691.99
Office Supplies;Chicago;United States;C0050;Customer 77;1/28/2022;CA-2022-235362;Profitable;87775;OFF-4153;Ibico Plastic Spiral Binding Combs;Central;92;Consumer;2/13/2022;First Class;Shipped Late;Colorado;Office Supplies;4;3;0.09%;33.4;2;785.03;839.22
Furniture;Seattle;United States;C0065;Customer 52;1/25/2022;CA-2022-655675;Not Profitable;16543;FUR-7483;Eldon Expressions Wood and Plastic Desk Accessories;West;93;Consumer;2/16/2022;First Class;Shipped Early;Pennsylvania;Furniture;2;5;0.19%;57.28;6;978.34;1031.57
Furniture;San Jose;United States;C0050;Customer 72;2/22/2022;CA-2022-147219;Profitable;24011;FUR-7043;Sauder Classic Café Table;West;94;Consumer;2/27/2022;Standard Class;Shipped on Time;Arizona;Furniture;5;4;0.2%;143.51;10;330.45;362.83
Furniture;Indianapolis;United States;C0020;Customer 56;2/24/2022;CA-2022-172450;Not Profitable;57935;FUR-9521;Global Deluxe Stacking Chair;Central;95;Consumer;1/24/2022;First Class;Shipped Late;Indiana;Furniture;4;5;0.09%;94.55;8;111.47;111.58
Furniture;San Jose;United States;C0002;Customer 70;2/13/2022;CA-2022-924501;Profitable;93128;FUR-2356;Bretford CR4500 Series Slim Rectangular Table;West;96;Corporate;1/31/2022;Standard Class;Shipped on Time;Washington;Furniture;4;2;0.18%;-16.53;2;942.37;855.54
Office Supplies;San Antonio;United States;C0055;Customer 53;1/21/2022;CA-2022-849775;Not Profitable;51569;OFF-3048;Ibico Plastic Spiral Binding Combs;South;97;Corporate;1/26/2022;Second Class;Shipped on Time;Pennsylvania;Office Supplies;4;2;0.18%;82.2;5;252.21;234.57
Stationery;San Antonio;United States;C0026;Customer 1;1/29/2022;CA-2022-996752;Profitable;89082;STA-4459;Rogers File Cart;South;98;Corporate;2/23/2022;Second Class;Shipped on Time;Colorado;Stationery;3;4;0.14%;51.83;5;563.28;614.64
Office Supplies;Dallas;United States;C0078;Customer 51;2/16/2022;CA-2022-188941;Not Profitable;90966;OFF-7650;Wilson Jones Legal Size Ring Binders;Central;99;Corporate;1/28/2022;First Class;Shipped Late;Ohio;Office Supplies;3;2;0.13%;45.33;8;605.74;664.01
Stationery;Dallas;United States;C0058;Customer 24;2/11/2022;CA-2022-735247;Profitable;59662;STA-1865;Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;Central;100;Consumer;2/16/2022;Standard Class;Shipped on Time;Washington;Stationery;3;3;0.2%;118.68;2;616.45;663.37
Furniture;Houston;United States;C0099;Customer 76;2/1/2022;CA-2022-215822;Not Profitable;62736;FUR-2926;Novimex Executive Leather Armchair;South;101;Consumer;2/19/2022;Standard Class;Shipped on Time;Ohio;Furniture;5;4;0.2%;30.23;5;378.33;344.91
Stationery;San Francisco;United States;C0005;Customer 99;1/22/2022;CA-2022-298906;Not Profitable;42071;STA-1045;Avery 508;West;102;Corporate;2/2/2022;First Class;Shipped on Time;Arizona;Stationery;2;5;0.04%;131.36;8;254.2;232.63
