Category,City,Country_Region,Customer_ID,Customer_Name,Order_Date,Order_ID,Order_Profitable,Postal_Code,Product_ID,Product_Name,Region,Row_ID,Segment,Ship_Date,Ship_Mode,Ship_Status,State,Sub_Category,Days_to_Ship_Actual,Days_to_Ship_Scheduled,Discount,Profit,Quantity,Sales,Sales_Forecast
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-19,CA-2019-115812,Profitable,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,11,Consumer,14-06-19,Standard Class,Shipped Early,California,Tables,5,6,20.00%,85,9,1706,2555
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-19,CA-2019-115812,Profitable,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,12,Consumer,14-06-19,Standard Class,Shipped Early,California,Phones,5,6,20.00%,68,4,911,1365
Office Supplies,Concord,United States,AA-10480,Andrew Allen,15-04-22,CA-2022-114412,Profitable,28027,OFF-PA-10002365,Xerox 1967,South,13,Consumer,20-04-22,Standard Class,Shipped Early,North Carolina,Paper,5,6,20.00%,5,3,16,23
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,05-12-21,CA-2021-161389,Profitable,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,14,Consumer,10-12-21,Standard Class,Shipped Early,Washington,Binders,5,6,20.00%,133,3,408,611
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,22-11-20,US-2020-118983,Unprofitable,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,15,Home Office,26-11-20,Standard Class,Shipped Early,Texas,Appliances,4,6,80.00%,-124,5,69,103
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,22-11-20,US-2020-118983,Unprofitable,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,16,Home Office,26-11-20,Standard Class,Shipped Early,Texas,Binders,4,6,80.00%,-4,3,3,4
Office Supplies,Madison,United States,PK-19075,Pete Kriz,11-11-19,CA-2019-105893,Profitable,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,17,Consumer,18-11-19,Standard Class,Shipped Late,Wisconsin,Storage,7,6,0.00%,13,6,666,997
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,13-05-19,CA-2019-167164,Profitable,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,18,Consumer,15-05-19,Second Class,Shipped Early,Utah,Storage,2,3,0.00%,10,2,56,83
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-19,CA-2019-143336,Profitable,94109,OFF-AR-10003056,Newell 341,West,19,Consumer,01-09-19,Second Class,Shipped Late,California,Art,5,3,0.00%,2,2,9,13
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-19,CA-2019-143336,Profitable,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,20,Consumer,01-09-19,Second Class,Shipped Late,California,Phones,5,3,20.00%,16,3,213,320
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-19,CA-2019-143336,Profitable,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,21,Consumer,01-09-19,Second Class,Shipped Late,California,Binders,5,3,20.00%,7,4,23,34
Office Supplies,Fremont,United States,KB-16585,Ken Black,09-12-21,CA-2021-137330,Profitable,68025,OFF-AR-10000246,Newell 318,Central,22,Corporate,13-12-21,Standard Class,Shipped Early,Nebraska,Art,4,6,0.00%,5,7,19,29
Office Supplies,Fremont,United States,KB-16585,Ken Black,09-12-21,CA-2021-137330,Profitable,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,23,Corporate,13-12-21,Standard Class,Shipped Early,Nebraska,Appliances,4,6,0.00%,16,7,60,90
Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,16-07-22,US-2022-156909,Unprofitable,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",East,24,Consumer,18-07-22,Second Class,Shipped Early,Pennsylvania,Chairs,2,3,30.00%,-1,2,71,107
Furniture,Orem,United States,EB-13870,Emily Burns,25-09-20,CA-2020-106320,Profitable,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,25,Consumer,30-09-20,Standard Class,Shipped Early,Utah,Tables,5,6,0.00%,240,3,1045,1564
Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,16-01-21,CA-2021-121755,Profitable,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,26,Consumer,20-01-21,Second Class,Shipped Late,California,Binders,4,3,20.00%,4,2,12,17
Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,16-01-21,CA-2021-121755,Profitable,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,27,Consumer,20-01-21,Second Class,Shipped Late,California,Accessories,4,3,0.00%,12,3,91,136
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-20,US-2020-150630,Unprofitable,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,28,Consumer,21-09-20,Standard Class,Shipped Early,Pennsylvania,Bookcases,4,6,50.00%,-1665,7,3083,4618
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-20,US-2020-150630,Unprofitable,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,29,Consumer,21-09-20,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,70.00%,-7,2,10,14
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-20,US-2020-150630,Unprofitable,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,30,Consumer,21-09-20,Standard Class,Shipped Early,Pennsylvania,Furnishings,4,6,20.00%,16,3,124,186
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-20,US-2020-150630,Unprofitable,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,31,Consumer,21-09-20,Standard Class,Shipped Early,Pennsylvania,Envelopes,4,6,20.00%,1,2,3,5
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-20,US-2020-150630,Unprofitable,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,32,Consumer,21-09-20,Standard Class,Shipped Early,Pennsylvania,Art,4,6,20.00%,10,6,86,129
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-20,US-2020-150630,Unprofitable,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,33,Consumer,21-09-20,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,70.00%,-6,6,7,10
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-20,US-2020-150630,Unprofitable,19140,OFF-AR-10001683,Lumber Crayons,East,34,Consumer,21-09-20,Standard Class,Shipped Early,Pennsylvania,Art,4,6,20.00%,4,2,16,24
Office Supplies,Houston,United States,MA-17560,Matt Abelman,19-10-22,CA-2022-107727,Profitable,77095,OFF-PA-10000249,Easy-staple paper,Central,35,Home Office,23-10-22,Second Class,Shipped Late,Texas,Paper,4,3,20.00%,10,3,29,44
Technology,Richardson,United States,GH-14485,Gene Hale,08-12-21,CA-2021-117590,Unprofitable,75080,TEC-PH-10004977,GE 30524EE4,Central,36,Corporate,10-12-21,First Class,Shipped Late,Texas,Phones,2,1,20.00%,123,7,1098,1644
Furniture,Richardson,United States,GH-14485,Gene Hale,08-12-21,CA-2021-117590,Unprofitable,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,37,Corporate,10-12-21,First Class,Shipped Late,Texas,Furnishings,2,1,60.00%,-148,5,191,286
Office Supplies,Houston,United States,SN-20710,Steve Nguyen,27-12-20,CA-2020-117415,Profitable,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,38,Home Office,31-12-20,Standard Class,Shipped Early,Texas,Envelopes,4,6,20.00%,35,9,113,170
Furniture,Houston,United States,SN-20710,Steve Nguyen,27-12-20,CA-2020-117415,Profitable,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,39,Home Office,31-12-20,Standard Class,Shipped Early,Texas,Bookcases,4,6,32.00%,-47,3,532,797
Furniture,Houston,United States,SN-20710,Steve Nguyen,27-12-20,CA-2020-117415,Profitable,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,40,Home Office,31-12-20,Standard Class,Shipped Early,Texas,Chairs,4,6,30.00%,-15,3,212,318
Technology,Houston,United States,SN-20710,Steve Nguyen,27-12-20,CA-2020-117415,Profitable,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,41,Home Office,31-12-20,Standard Class,Shipped Early,Texas,Phones,4,6,20.00%,42,4,371,556
Technology,Naperville,United States,LC-16930,Linda Cazamias,10-09-22,CA-2022-120999,Profitable,60540,TEC-PH-10004093,Panasonic Kx-TS550,Central,42,Corporate,15-09-22,Standard Class,Shipped Early,Illinois,Phones,5,6,20.00%,17,4,147,220
Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,17-07-21,CA-2021-101343,Profitable,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,43,Corporate,22-07-21,Standard Class,Shipped Early,California,Storage,5,6,0.00%,4,2,78,117
Office Supplies,Melbourne,United States,ES-14080,Erin Smith,19-09-22,CA-2022-139619,Profitable,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,44,Corporate,23-09-22,Standard Class,Shipped Early,Florida,Storage,4,6,20.00%,10,2,96,143
Technology,Eagan,United States,ON-18715,Odella Nelson,11-03-21,CA-2021-118255,Profitable,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,45,Corporate,13-03-21,First Class,Shipped Late,Minnesota,Accessories,2,1,0.00%,20,2,46,69
Office Supplies,Eagan,United States,ON-18715,Odella Nelson,11-03-21,CA-2021-118255,Profitable,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,46,Corporate,13-03-21,First Class,Shipped Late,Minnesota,Binders,2,1,0.00%,8,2,17,26
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,20-10-19,CA-2019-146703,Profitable,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,47,Consumer,25-10-19,Second Class,Shipped Late,Michigan,Storage,5,3,0.00%,8,4,212,317
Technology,Dover,United States,LH-16900,Lena Hernandez,20-06-21,CA-2021-169194,Profitable,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,48,Consumer,25-06-21,Standard Class,Shipped Early,Delaware,Accessories,5,6,0.00%,5,3,45,67
Technology,Dover,United States,LH-16900,Lena Hernandez,20-06-21,CA-2021-169194,Profitable,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,49,Consumer,25-06-21,Standard Class,Shipped Early,Delaware,Phones,5,6,0.00%,6,2,22,33
Office Supplies,New Albany,United States,DP-13000,Darren Powers,18-04-20,CA-2020-115742,Profitable,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,50,Consumer,22-04-20,Standard Class,Shipped Early,Indiana,Binders,4,6,0.00%,18,6,38,57
Office Supplies,New Albany,United States,DP-13000,Darren Powers,18-04-20,CA-2020-115742,Profitable,47150,OFF-LA-10002762,Avery 485,Central,51,Consumer,22-04-20,Standard Class,Shipped Early,Indiana,Labels,4,6,0.00%,35,6,75,113
Furniture,New Albany,United States,DP-13000,Darren Powers,18-04-20,CA-2020-115742,Profitable,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,52,Consumer,22-04-20,Standard Class,Shipped Early,Indiana,Furnishings,4,6,0.00%,3,2,6,9
Furniture,New Albany,United States,DP-13000,Darren Powers,18-04-20,CA-2020-115742,Profitable,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,53,Consumer,22-04-20,Standard Class,Shipped Early,Indiana,Chairs,4,6,0.00%,17,1,90,135
Office Supplies,New York City,United States,JM-15265,Janet Molinari,11-12-21,CA-2021-105816,Profitable,10024,OFF-FA-10000304,Advantus Push Pins,East,54,Corporate,17-12-21,Standard Class,Shipped On Time,New York,Fasteners,6,6,0.00%,6,7,15,23
Technology,New York City,United States,JM-15265,Janet Molinari,11-12-21,CA-2021-105816,Profitable,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,East,55,Corporate,17-12-21,Standard Class,Shipped On Time,New York,Phones,6,6,0.00%,299,5,1030,1542
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-21,CA-2021-111682,Profitable,12180,OFF-ST-10000604,Home/Office Personal File Carts,East,56,Consumer,18-06-21,First Class,Shipped On Time,New York,Storage,1,1,0.00%,52,6,209,312
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-21,CA-2021-111682,Profitable,12180,OFF-PA-10001569,Xerox 232,East,57,Consumer,18-06-21,First Class,Shipped On Time,New York,Paper,1,1,0.00%,16,5,32,49
Furniture,Troy,United States,TB-21055,Ted Butterfield,17-06-21,CA-2021-111682,Profitable,12180,FUR-CH-10003968,Novimex Turbo Task Chair,East,58,Consumer,18-06-21,First Class,Shipped On Time,New York,Chairs,1,1,10.00%,7,5,319,478
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-21,CA-2021-111682,Profitable,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",East,59,Consumer,18-06-21,First Class,Shipped On Time,New York,Paper,1,1,0.00%,7,2,15,22
Technology,Troy,United States,TB-21055,Ted Butterfield,17-06-21,CA-2021-111682,Profitable,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,60,Consumer,18-06-21,First Class,Shipped On Time,New York,Accessories,1,1,0.00%,3,2,30,45
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-21,CA-2021-111682,Profitable,12180,OFF-BI-10001460,Plastic Binding Combs,East,61,Consumer,18-06-21,First Class,Shipped On Time,New York,Binders,1,1,20.00%,16,4,48,73
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-21,CA-2021-111682,Profitable,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,East,62,Consumer,18-06-21,First Class,Shipped On Time,New York,Art,1,1,0.00%,1,1,2,3
Technology,Los Angeles,United States,KM-16720,Kunst Miller,24-11-20,CA-2020-135545,Profitable,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,63,Consumer,30-11-20,Standard Class,Shipped On Time,California,Accessories,6,6,0.00%,6,2,14,21
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,24-11-20,CA-2020-135545,Profitable,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,64,Consumer,30-11-20,Standard Class,Shipped On Time,California,Binders,6,6,20.00%,9,6,26,39
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,24-11-20,CA-2020-135545,Profitable,90004,OFF-PA-10003892,Xerox 1943,West,65,Consumer,30-11-20,Standard Class,Shipped On Time,California,Paper,6,6,0.00%,69,3,147,220
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,24-11-20,CA-2020-135545,Profitable,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,66,Consumer,30-11-20,Standard Class,Shipped On Time,California,Furnishings,6,6,0.00%,22,4,80,119
Furniture,Chicago,United States,PS-18970,Paul Stevenson,30-04-20,US-2020-164175,Unprofitable,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,67,Home Office,05-05-20,Standard Class,Shipped Early,Illinois,Chairs,5,6,30.00%,-15,5,213,319
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,05-12-19,CA-2019-106376,Profitable,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,68,Corporate,10-12-19,Standard Class,Shipped Early,Arizona,Art,5,6,20.00%,111,8,1113,1667
Technology,Gilbert,United States,BS-11590,Brendan Sweed,05-12-19,CA-2019-106376,Profitable,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,69,Corporate,10-12-19,Standard Class,Shipped Early,Arizona,Phones,5,6,20.00%,63,4,168,252
Office Supplies,Springfield,United States,KD-16270,Karen Daniels,04-06-21,CA-2021-119823,Profitable,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,70,Consumer,06-06-21,First Class,Shipped Late,Virginia,Paper,2,1,0.00%,36,2,76,114
Office Supplies,New York City,United States,HM-14980,Henry MacAllister,18-09-21,CA-2021-106075,Profitable,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,East,71,Consumer,23-09-21,Standard Class,Shipped Early,New York,Binders,5,6,20.00%,2,1,5,7
Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,14-09-22,CA-2022-114440,Profitable,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,72,Consumer,17-09-22,Second Class,Shipped On Time,Michigan,Paper,3,3,0.00%,9,3,19,29
Furniture,Memphis,United States,JE-15745,Joel Eaton,26-04-20,US-2020-134026,Unprofitable,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,73,Consumer,02-05-20,Standard Class,Shipped On Time,Tennessee,Chairs,6,6,20.00%,-114,8,832,1246
Furniture,Memphis,United States,JE-15745,Joel Eaton,26-04-20,US-2020-134026,Unprofitable,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,74,Consumer,02-05-20,Standard Class,Shipped On Time,Tennessee,Furnishings,6,6,20.00%,1,2,97,145
Office Supplies,Memphis,United States,JE-15745,Joel Eaton,26-04-20,US-2020-134026,Unprofitable,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,75,Consumer,02-05-20,Standard Class,Shipped On Time,Tennessee,Storage,6,6,20.00%,-18,1,73,109
Office Supplies,Houston,United States,KB-16600,Ken Brennan,09-12-22,US-2022-118038,Unprofitable,77041,OFF-BI-10004182,Economy Binders,Central,76,Corporate,11-12-22,First Class,Shipped Late,Texas,Binders,2,1,80.00%,-2,3,1,2
Furniture,Houston,United States,KB-16600,Ken Brennan,09-12-22,US-2022-118038,Unprofitable,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Central,77,Corporate,11-12-22,First Class,Shipped Late,Texas,Furnishings,2,1,60.00%,-6,3,10,15
Office Supplies,Houston,United States,KB-16600,Ken Brennan,09-12-22,US-2022-118038,Unprofitable,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,78,Corporate,11-12-22,First Class,Shipped Late,Texas,Storage,2,1,20.00%,3,3,27,41
Furniture,Houston,United States,JE-15745,Joel Eaton,26-11-19,US-2019-147606,Unprofitable,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,79,Consumer,01-12-19,Second Class,Shipped Late,Texas,Furnishings,5,3,60.00%,-14,5,19,29
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,12-06-21,CA-2021-127208,Profitable,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,80,Corporate,15-06-21,First Class,Shipped Late,Alabama,Appliances,3,1,0.00%,56,1,208,312
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,12-06-21,CA-2021-127208,Profitable,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,South,81,Corporate,15-06-21,First Class,Shipped Late,Alabama,Binders,3,1,0.00%,8,3,17,25
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,12-10-19,CA-2019-139451,Profitable,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,82,Consumer,16-10-19,Standard Class,Shipped Early,California,Art,4,6,0.00%,4,5,15,22
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,12-10-19,CA-2019-139451,Profitable,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,83,Consumer,16-10-19,Standard Class,Shipped Early,California,Storage,4,6,0.00%,6,1,21,32
Office Supplies,Durham,United States,JC-16105,Julie Creighton,03-09-20,CA-2020-149734,Profitable,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,84,Corporate,08-09-20,Standard Class,Shipped Early,North Carolina,Envelopes,5,6,20.00%,63,7,201,301
Office Supplies,Chicago,United States,CS-12400,Christopher Schild,13-11-22,US-2022-119662,Unprofitable,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Central,85,Home Office,16-11-22,First Class,Shipped Late,Illinois,Storage,3,1,20.00%,-49,3,230,345
Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,28-05-22,CA-2022-140088,Profitable,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,South,86,Consumer,30-05-22,Second Class,Shipped Early,South Carolina,Chairs,2,3,0.00%,33,2,302,452
Technology,Rochester,United States,PG-18895,Paul Gonzalez,26-10-22,CA-2022-155558,Profitable,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,87,Consumer,02-11-22,Standard Class,Shipped Late,Minnesota,Accessories,7,6,0.00%,7,1,20,30
Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,26-10-22,CA-2022-155558,Profitable,55901,OFF-LA-10000134,Avery 511,Central,88,Consumer,02-11-22,Standard Class,Shipped Late,Minnesota,Labels,7,6,0.00%,3,2,6,9
Office Supplies,Houston,United States,GM-14455,Gary Mitchum,05-04-21,CA-2021-159695,Profitable,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Central,89,Home Office,10-04-21,Second Class,Shipped Late,Texas,Storage,5,3,20.00%,14,7,158,237
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,17-09-21,CA-2021-109806,Profitable,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,West,90,Corporate,22-09-21,Standard Class,Shipped Early,California,Art,5,6,0.00%,7,3,20,30
Technology,Los Angeles,United States,JS-15685,Jim Sink,17-09-21,CA-2021-109806,Profitable,90036,TEC-PH-10004093,Panasonic Kx-TS550,West,91,Corporate,22-09-21,Standard Class,Shipped Early,California,Phones,5,6,20.00%,8,2,74,110
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,17-09-21,CA-2021-109806,Profitable,90036,OFF-PA-10000304,Xerox 1995,West,92,Corporate,22-09-21,Standard Class,Shipped Early,California,Paper,5,6,0.00%,3,1,6,10
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,31-01-20,CA-2020-149587,Profitable,55407,OFF-PA-10003177,Xerox 1999,Central,93,Consumer,05-02-20,Second Class,Shipped Late,Minnesota,Paper,5,3,0.00%,6,2,13,19
Furniture,Minneapolis,United States,KB-16315,Karl Braun,31-01-20,CA-2020-149587,Profitable,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Central,94,Consumer,05-02-20,Second Class,Shipped Late,Minnesota,Furnishings,5,3,0.00%,17,3,53,80
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,31-01-20,CA-2020-149587,Profitable,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,Central,95,Consumer,05-02-20,Second Class,Shipped Late,Minnesota,Binders,5,3,0.00%,16,2,33,49
Office Supplies,Portland,United States,RB-19705,Roger Barcio,06-11-22,US-2022-109484,Unprofitable,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,West,96,Home Office,12-11-22,Standard Class,Shipped On Time,Oregon,Binders,6,6,70.00%,-4,1,6,9
Furniture,New York City,United States,PN-18775,Parhena Norris,09-11-22,CA-2022-161018,Profitable,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,East,97,Home Office,11-11-22,Second Class,Shipped Early,New York,Furnishings,2,3,0.00%,41,7,97,145
